OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;COORDS;LNG;LAT;
114;"Tram";"7 | 10 | 17";"07|10|17";3;"POINT(4.877951,52.368805)";"4,877951";"52,368805";
115;"Tram";"3 | 12 | 13 | 14";"03|12|13|14";3;"POINT(4.870332,52.370884)";"4,870332";"52,370884";
116;"Tram";"2";"02";3;"POINT(4.856595,52.351508)";"4,856595";"52,351508";
117;"Tram";"2";"02";3;"POINT(4.845328,52.351582)";"4,845328";"52,351582";
118;"Tram";"2";"02";3;"POINT(4.816058,52.346461)";"4,816058";"52,346461";
119;"Tram";"2";"02";3;"POINT(4.810919,52.346358)";"4,810919";"52,346358";
120;"Tram";"2";"02";3;"POINT(4.803953,52.344994)";"4,803953";"52,344994";
121;"Tram";"2";"02";3;"POINT(4.870699,52.356016)";"4,870699";"52,356016";
122;"Tram";"2";"02";3;"POINT(4.863503,52.353224)";"4,863503";"52,353224";
123;"Tram";"2";"02";3;"POINT(4.840876,52.351549)";"4,840876";"52,351549";
124;"Tram";"2";"02";3;"POINT(4.824625,52.346692)";"4,824625";"52,346692";
125;"Tram";"2";"02";3;"POINT(4.827476,52.349162)";"4,827476";"52,349162";
126;"Tram";"2";"02";3;"POINT(4.849934,52.351307)";"4,849934";"52,351307";
127;"Tram";"2 | 3 | 5 | 12";"02|03|05|12";3;"POINT(4.878562,52.358147)";"4,878562";"52,358147";
128;"Tram";"5";"05";3;"POINT(4.87677,52.342902)";"4,87677";"52,342902";
129;"Tram";"5 | 24";"05|24";3;"POINT(4.876901,52.347095)";"4,876901";"52,347095";
130;"Tram";"24";"24";3;"POINT(4.872527,52.346734)";"4,872527";"52,346734";
131;"Tram";"26";"26";3;"POINT(5.0043,52.350948)";"5,0043";"52,350948";
132;"Tram";"9";"09";3;"POINT(4.927076,52.357211)";"4,927076";"52,357211";
133;"Tram";"26";"26";3;"POINT(4.91302,52.377245)";"4,91302";"52,377245";
134;"Tram";"26";"26";3;"POINT(4.921577,52.37612)";"4,921577";"52,37612";
135;"Tram";"26";"26";3;"POINT(4.961509,52.372024)";"4,961509";"52,372024";
136;"Tram";"26";"26";3;"POINT(4.980434,52.362991)";"4,980434";"52,362991";
